Restaurant,City,Rating,Price,Cuisine
Indian Accent,New Delhi,4.7,4000,Modern Indian
Bukhara,New Delhi,4.5,3500,North Indian
Karim's,New Delhi,4.2,800,Mughlai
The Spice Route,New Delhi,4.5,4500,Asian
Varq,New Delhi,4.6,5000,Fine Dining
Tamra,New Delhi,4.4,3000,Buffet
Dakshin,New Delhi,4.7,3200,South Indian
Pind Balluchi,New Delhi,4.2,1500,Punjabi
Moti Mahal,Delhi,4.3,1200,North Indian
Saravana Bhavan,Delhi,4.4,700,South Indian
Britannia & Co.,Mumbai,4.5,1800,Parsi
Trishna,Mumbai,4.6,3500,Seafood
Leopold Cafe,Mumbai,4.3,1400,Cafe
Bademiya,Mumbai,4.4,900,Kebab
The Table,Mumbai,4.6,4000,European
Wasabi by Morimoto,Mumbai,4.7,6500,Japanese
Cafe Madras,Mumbai,4.5,600,South Indian
Pizza By The Bay,Mumbai,4.4,2000,Italian
Khyber,Mumbai,4.5,2500,North Indian
Bastian,Mumbai,4.3,4500,Seafood
MTR,Bengaluru,4.6,500,South Indian
Vidyarthi Bhavan,Bengaluru,4.5,400,South Indian
Toit,Bengaluru,4.5,2200,Brewpub
Karavalli,Bengaluru,4.7,3500,Coastal
CTR,Bengaluru,4.6,450,South Indian
The Only Place,Bengaluru,4.4,1800,Steakhouse
Meghana Foods,Bengaluru,4.4,1200,Biryani
Empire Restaurant,Bengaluru,4.2,900,Multi Cuisine
Corner House,Bengaluru,4.7,350,Desserts
Airlines Hotel,Bengaluru,4.3,600,Cafe
Paradise Biryani,Hyderabad,4.3,1200,Biryani
Shah Ghouse,Hyderabad,4.4,900,Hyderabadi
Bawarchi,Hyderabad,4.2,800,Biryani
Chutneys,Hyderabad,4.5,1000,South Indian
Jewel of Nizam,Hyderabad,4.6,5000,Fine Dining
Cafe Bahar,Hyderabad,4.3,700,Biryani
Pista House,Hyderabad,4.4,600,Bakery
Ohri's Jiva Imperia,Hyderabad,4.5,3000,North Indian
Exotica,Hyderabad,4.4,2800,Rooftop Dining
Rayalaseema Ruchulu,Hyderabad,4.3,1100,Andhra
Murugan Idli Shop,Chennai,4.5,500,South Indian
Annalakshmi,Chennai,4.6,1200,Vegetarian
The Marina,Chennai,4.4,1500,Seafood
Peshawri,Chennai,4.5,3500,North Indian
A2B,Chennai,4.3,600,South Indian
Barbeque Nation,Chennai,4.4,2000,Buffet
Copper Chimney,Chennai,4.3,1800,North Indian
Mathsya,Chennai,4.2,900,Vegetarian
The Farm,Chennai,4.5,2500,Organic
Dakshin,Chennai,4.7,4000,South Indian
Kewpie's,Kolkata,4.5,1400,Bengali
Arsalan,Kolkata,4.4,900,Biryani
Peter Cat,Kolkata,4.5,1800,Continental
6 Ballygunge Place,Kolkata,4.6,2200,Bengali
Mocambo,Kolkata,4.4,1700,Continental
Flurys,Kolkata,4.5,1200,Cafe
Oh! Calcutta,Kolkata,4.5,2500,Bengali
Bohemian,Kolkata,4.6,2000,Fusion
Bar-B-Q,Kolkata,4.3,1500,Chinese
Aminia,Kolkata,4.2,1000,Mughlai
